Year,CountryName,Region,IncomeGroup,NoOfVisitors
2000,Aruba,Latin America & Caribbean,High income,721000
2000,Andorra,Europe & Central Asia,High income,2949000
2000,Afghanistan,South Asia,Low income,0
2000,Angola,Sub-Saharan Africa,Upper middle income,51000
2000,Albania,Europe & Central Asia,Upper middle income,0
2000,Arab World,Others,Others,40959987
2000,United Arab Emirates,Middle East & North Africa,High income,3907000
2000,Argentina,Latin America & Caribbean,High income,2909000
2000,Armenia,Europe & Central Asia,Lower middle income,45000
2000,American Samoa,East Asia & Pacific,Upper middle income,44000
2000,Antigua and Barbuda,Latin America & Caribbean,High income,207000
2000,Australia,East Asia & Pacific,High income,4931000
2000,Austria,Europe & Central Asia,High income,17982000
2000,Azerbaijan,Europe & Central Asia,Upper middle income,0
2000,Burundi,Sub-Saharan Africa,Low income,29000
2000,Belgium,Europe & Central Asia,High income,6457000
2000,Benin,Sub-Saharan Africa,Low income,96000
2000,Burkina Faso,Sub-Saharan Africa,Low income,126000
2000,Bangladesh,South Asia,Lower middle income,199000
2000,Bulgaria,Europe & Central Asia,Upper middle income,2785000
2000,Bahrain,Middle East & North Africa,High income,3869000
2000,"Bahamas, The",Latin America & Caribbean,High income,1544000
2000,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,171000
2000,Belarus,Europe & Central Asia,Upper middle income,60000
2000,Belize,Latin America & Caribbean,Upper middle income,196000
2000,Bermuda,North America,High income,332000
2000,Bolivia,Latin America & Caribbean,Lower middle income,319000
2000,Brazil,Latin America & Caribbean,Upper middle income,5313000
2000,Barbados,Latin America & Caribbean,High income,545000
2000,Brunei Darussalam,East Asia & Pacific,High income,0
2000,Bhutan,South Asia,Lower middle income,8000
2000,Botswana,Sub-Saharan Africa,Upper middle income,1104000
2000,Central African Republic,Sub-Saharan Africa,Low income,11000
2000,Canada,North America,High income,19627000
2000,Central Europe and the Baltics,Others,Others,0
2000,Switzerland,Europe & Central Asia,High income,7821000
2000,Channel Islands,Europe & Central Asia,High income,0
2000,Chile,Latin America & Caribbean,High income,1742000
2000,China,East Asia & Pacific,Upper middle income,31229000
2000,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,0
2000,Cameroon,Sub-Saharan Africa,Lower middle income,0
2000,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,19000
2000,Colombia,Latin America & Caribbean,Upper middle income,557000
2000,Comoros,Sub-Saharan Africa,Low income,24000
2000,Cabo Verde,Sub-Saharan Africa,Lower middle income,115000
2000,Costa Rica,Latin America & Caribbean,Upper middle income,1088000
2000,Caribbean small states,Others,Others,4991000
2000,Cuba,Latin America & Caribbean,Upper middle income,1741000
2000,Curacao,Latin America & Caribbean,High income,191000
2000,Cayman Islands,Latin America & Caribbean,High income,354000
2000,Cyprus,Europe & Central Asia,High income,2686000
2000,Czech Republic,Europe & Central Asia,High income,0
2000,Germany,Europe & Central Asia,High income,18983000
2000,Djibouti,Middle East & North Africa,Lower middle income,20000
2000,Dominica,Latin America & Caribbean,Upper middle income,70000
2000,Denmark,Europe & Central Asia,High income,3535000
2000,Dominican Republic,Latin America & Caribbean,Upper middle income,2978000
2000,Algeria,Middle East & North Africa,Upper middle income,866000
2000,East Asia & Pacific (developing only),Others,Others,62915039
2000,East Asia & Pacific (all income levels),Others,Others,105056861
2000,Europe & Central Asia (developing only),Others,Others,28880376
2000,Europe & Central Asia (all income levels),Others,Others,400546255
2000,Ecuador,Latin America & Caribbean,Upper middle income,627000
2000,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,5116000
2000,Euro area,Others,Others,260498638
2000,Eritrea,Sub-Saharan Africa,Low income,70000
2000,Spain,Europe & Central Asia,High income,46403000
2000,Estonia,Europe & Central Asia,High income,1220000
2000,Ethiopia,Sub-Saharan Africa,Low income,136000
2000,European Union,Others,Others,341733844
2000,Fragile and conflict affected situations,Others,Others,9214484
2000,Finland,Europe & Central Asia,High income,2714000
2000,Fiji,East Asia & Pacific,Upper middle income,294000
2000,France,Europe & Central Asia,High income,77190000
2000,Faroe Islands,Europe & Central Asia,High income,0
2000,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,21000
2000,Gabon,Sub-Saharan Africa,Upper middle income,155000
2000,United Kingdom,Europe & Central Asia,High income,23212000
2000,Georgia,Europe & Central Asia,Lower middle income,387000
2000,Ghana,Sub-Saharan Africa,Lower middle income,399000
2000,Guinea,Sub-Saharan Africa,Low income,33000
2000,"Gambia, The",Sub-Saharan Africa,Low income,79000
2000,Guinea-Bissau,Sub-Saharan Africa,Low income,0
2000,Equatorial Guinea,Sub-Saharan Africa,High income,0
2000,Greece,Europe & Central Asia,High income,13096000
2000,Grenada,Latin America & Caribbean,Upper middle income,129000
2000,Greenland,Europe & Central Asia,High income,0
2000,Guatemala,Latin America & Caribbean,Lower middle income,0
2000,Guam,East Asia & Pacific,High income,1287000
2000,Guyana,Latin America & Caribbean,Lower middle income,105000
2000,High income,Others,Others,516864993
2000,"Hong Kong SAR, China",East Asia & Pacific,High income,8814000
2000,Honduras,Latin America & Caribbean,Lower middle income,471000
2000,Heavily indebted poor countries (HIPC),Others,Others,6237358
2000,Croatia,Europe & Central Asia,High income,5831000
2000,Haiti,Latin America & Caribbean,Low income,140000
2000,Hungary,Europe & Central Asia,High income,0
2000,Indonesia,East Asia & Pacific,Lower middle income,5064000
2000,Isle of Man,Europe & Central Asia,High income,0
2000,India,South Asia,Lower middle income,2649000
2000,Ireland,Europe & Central Asia,High income,6646000
2000,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,1342000
2000,Iraq,Middle East & North Africa,Upper middle income,78000
2000,Iceland,Europe & Central Asia,High income,303000
2000,Israel,Middle East & North Africa,High income,2417000
2000,Italy,Europe & Central Asia,High income,41181000
2000,Jamaica,Latin America & Caribbean,Upper middle income,1323000
2000,Jordan,Middle East & North Africa,Upper middle income,1580000
2000,Japan,East Asia & Pacific,High income,4757000
2000,Kazakhstan,Europe & Central Asia,Upper middle income,1471000
2000,Kenya,Sub-Saharan Africa,Lower middle income,899000
2000,Kyrgyz Republic,Europe & Central Asia,Lower middle income,59000
2000,Cambodia,East Asia & Pacific,Low income,466000
2000,Kiribati,East Asia & Pacific,Lower middle income,4800
2000,St. Kitts and Nevis,Latin America & Caribbean,High income,73000
2000,"Korea, Rep.",East Asia & Pacific,High income,5322000
2000,Kosovo,Europe & Central Asia,Lower middle income,0
2000,Kuwait,Middle East & North Africa,High income,78000
2000,Latin America & Caribbean (developing only),Others,Others,40048069
